seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK03_to_DK04,backward,main,2329,300.0,1150.0,0.0,0.08494385903254988,0.085,0.0016512049250036575,0.9983487950749963,0.0,0.0,0.0,0,0,1,DK04,DK
1,DK03_to_DK04,backward,main,2431,350.0,1200.0,0.0,0.08492474859657673,0.085,0.0022132765712728733,0.9977867234287271,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK03_to_DK04,backward,main,2533,400.0,1250.0,0.0,0.08489991790455911,0.085,0.0029435910423792925,0.9970564089576207,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK03_to_DK04,backward,main,2534,450.0,1250.0,0.0,0.08487856851690169,0.085,0.0035715142087740293,0.996428485791226,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK03_to_DK04,backward,main,2636,500.0,1300.0,0.0,0.08484038132673193,0.085,0.0046946668608260685,0.9953053331391739,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK03_to_DK04,backward,main,2738,550.0,1350.0,0.0,0.08479181800385421,0.085,0.006122999886640736,0.9938770001133592,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK03_to_DK04,backward,main,2840,600.0,1400.0,0.0,0.08473059247969587,0.085,0.007923750597180557,0.9920762494028195,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK03_to_DK04,backward,main,2942,650.0,1450.0,0.0,0.08465407389648268,0.085,0.010174297162274505,0.9898257028377255,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK03_to_DK04,backward,main,3044,700.0,1500.0,0.0,0.08455927871070092,0.085,0.012962390861737843,0.9870376091382621,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK03_to_DK04,backward,main,3146,750.0,1550.0,0.0,0.08444287608787934,0.085,0.01638599741531376,0.9836140025846862,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK03_to_DK04,backward,main,3248,800.0,1600.0,0.0,0.08430121006241109,0.085,0.02055264522320352,0.9794473547767965,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DK03_to_DK04,backward,main,3350,850.0,1650.0,0.0,0.08413034187156598,0.085,0.02557818024805956,0.9744218197519404,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DK03_to_DK04,backward,main,3452,900.0,1700.0,0.0,0.08392611555239271,0.085,0.03158483669433226,0.9684151633056677,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DK03_to_DK04,backward,main,3554,950.0,1750.0,0.0,0.08368424927059484,0.085,0.03869855086485808,0.9613014491351419,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DK03_to_DK04,backward,main,3656,1000.0,1800.0,0.0,0.08340045390301142,0.085,0.04704547344084097,0.952954526559159,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DK03_to_DK04,backward,main,3758,1050.0,1850.0,0.0,0.0830705791124691,0.085,0.05674767316267373,0.9432523268373263,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DK03_to_DK04,backward,main,3860,1100.0,1900.0,0.0,0.08269078555495855,0.085,0.06791807191298417,0.9320819280870158,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DK03_to_DK04,backward,main,3962,1150.0,1950.0,0.0,0.08225773999541228,0.085,0.08065470601728597,0.919345293982714,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DK03_to_DK04,backward,main,4064,1200.0,2000.0,0.0,0.08176882806495334,0.085,0.09503446867784347,0.9049655313221565,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DK03_to_DK04,backward,main,4065,1250.0,2000.0,0.0,0.08131708604435953,0.085,0.1083209986953083,0.8916790013046917,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DK03_to_DK04,backward,main,3965,1300.0,1950.0,0.0,0.08093927907893153,0.085,0.11943296826671962,0.8805670317332803,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DK03_to_DK04,backward,main,3966,1350.0,1950.0,0.0,0.08040757870784537,0.085,0.13507121447513626,0.8649287855248637,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DK03_to_DK04,backward,main,3967,1400.0,1950.0,0.0,0.07982650733315534,0.085,0.1521615490248429,0.8478384509751571,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DK03_to_DK04,backward,main,3968,1450.0,1950.0,0.0,0.07919463552473152,0.085,0.17074601397848477,0.8292539860215152,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DK03_to_DK04,backward,main,3969,1500.0,1950.0,0.0,0.07851098644461325,0.085,0.19085333986431632,0.8091466601356837,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DK03_to_DK04,backward,main,4071,1550.0,2000.0,0.0,0.07756030930583295,0.085,0.21881443218138405,0.7811855678186159,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DK03_to_DK04,backward,main,4072,1600.0,2000.0,0.0,0.07674891340947602,0.085,0.2426790173683525,0.7573209826316475,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DK03_to_DK04,backward,main,4174,1650.0,2050.0,0.0,0.07565029399382732,0.085,0.27499135312272616,0.7250086468772738,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DK03_to_DK04,backward,main,4276,1700.0,2100.0,0.0,0.07448784297189667,0.085,0.30918108906186287,0.6908189109381371,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DK03_to_DK04,backward,main,4378,1750.0,2150.0,0.0,0.0732728414013702,0.085,0.34491642937146455,0.6550835706285354,0.0,0.0,0.0,0,0,0,NONE,NONE
